AXVISOR_RT_HOST_TRACE schema=1 vm=1 counter_frequency_hz=24000000 start_ticks=1931969768 end_ticks=2055328787 records=1094 dropped=0 incomplete=0 failed_injections=0 unowned_virtual_timer_irqs=0 counter_frequency_mismatches=0
AXVISOR_RT_HOST_IRQ schema=1 sequence=55 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1962952174 guest_counter_ticks=31102029 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=56 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1962993180 guest_counter_ticks=31143035 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=57 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1963185260 guest_counter_ticks=31335115 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=58 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1963192792 guest_counter_ticks=31342647 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=59 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1963232839 guest_counter_ticks=31382694 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=60 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1963432871 guest_counter_ticks=31582726 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=61 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1963472750 guest_counter_ticks=31622605 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=62 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1963672236 guest_counter_ticks=31822091 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=63 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1963712626 guest_counter_ticks=31862481 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=64 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1963912441 guest_counter_ticks=32062296 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=65 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1963952474 guest_counter_ticks=32102329 forwarding_ticks=7 injected=1
