AXVISOR_RT_HOST_TRACE schema=1 vm=1 counter_frequency_hz=24000000 start_ticks=2087341817 end_ticks=2210631984 records=1097 dropped=0 incomplete=0 failed_injections=0 unowned_virtual_timer_irqs=0 counter_frequency_mismatches=0
AXVISOR_RT_HOST_IRQ schema=1 sequence=50 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2117745533 guest_counter_ticks=30523465 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=51 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2117855405 guest_counter_ticks=30633337 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=52 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2117964507 guest_counter_ticks=30742439 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=53 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2118095218 guest_counter_ticks=30873150 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=54 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2118204740 guest_counter_ticks=30982672 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=55 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2118335395 guest_counter_ticks=31113327 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=56 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2118444931 guest_counter_ticks=31222863 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=57 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2118575418 guest_counter_ticks=31353350 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=58 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2118637578 guest_counter_ticks=31415510 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=59 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2118684884 guest_counter_ticks=31462816 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=60 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2118816253 guest_counter_ticks=31594185 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=61 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2118924655 guest_counter_ticks=31702587 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=62 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2119055814 guest_counter_ticks=31833746 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=63 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2119165084 guest_counter_ticks=31943016 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=64 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2119294836 guest_counter_ticks=32072768 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=65 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2119404659 guest_counter_ticks=32182591 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=66 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2119644920 guest_counter_ticks=32422852 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=67 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2119884740 guest_counter_ticks=32662672 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=68 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2120015346 guest_counter_ticks=32793278 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=69 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2120125071 guest_counter_ticks=32903003 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=70 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2120254935 guest_counter_ticks=33032867 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=71 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2120364856 guest_counter_ticks=33142788 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=72 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2120495315 guest_counter_ticks=33273247 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=73 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2120605054 guest_counter_ticks=33382986 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=74 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2120735366 guest_counter_ticks=33513298 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=75 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2120844811 guest_counter_ticks=33622743 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=76 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2121042015 guest_counter_ticks=33819947 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=77 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2121084736 guest_counter_ticks=33862668 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=78 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2121214782 guest_counter_ticks=33992714 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=79 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2121324689 guest_counter_ticks=34102621 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=80 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2121455295 guest_counter_ticks=34233227 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=81 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2121564663 guest_counter_ticks=34342595 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=82 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2121695605 guest_counter_ticks=34473537 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=83 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2121804910 guest_counter_ticks=34582842 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=84 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2121934795 guest_counter_ticks=34712727 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=85 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2122044716 guest_counter_ticks=34822648 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=86 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2122175049 guest_counter_ticks=34952981 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=87 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2122284676 guest_counter_ticks=35062608 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=88 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2122415765 guest_counter_ticks=35193697 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=89 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2122524783 guest_counter_ticks=35302715 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=90 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2122764953 guest_counter_ticks=35542885 forwarding_ticks=7 injected=1
